potentialtype,probability,leadsource,modifiedtime_day_of_week,modifiedtime_date_no,modifiedtime_year_no,modifiedtime_month_no,modifiedtime_business_day,modifiedtime_AM_PM,modifiedtime_quarter_year,createdtime_day_of_week,createdtime_date_no,createdtime_year_no,createdtime_month_no,createdtime_business_day,createdtime_week_no_year,createdtime_day_of_year,createdtime_AM_PM,createdtime_quarter_year,gad_offline_pushdateisEmpty
6,0.6748971193415638,13,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,22,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,255,0.8148148148148148,0.32098765432098764,0.00823045267489712
6,0.6748971193415638,13,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,256,0.18518518518518517,0.32098765432098764,0.00823045267489712
6,0.6748971193415638,13,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,256,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.32510288065843623,7,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,30,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,256,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,12,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,256,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.32510288065843623,7,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,30,0.07818930041152264,0.13168724279835392,0.9876543209876543,37,256,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,9,0.07818930041152264,0.07818930041152264,0.9876543209876543,27,278,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,12,0.13991769547325103,24,3,1,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.24691358024691357,4,0.07818930041152264,0.07818930041152264,0.9876543209876543,28,299,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.32510288065843623,12,0.26337448559670784,18,5,1,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.20164609053497942,8,0.07818930041152264,0.07818930041152264,0.9876543209876543,36,303,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,8,0.07818930041152264,0.07818930041152264,0.9876543209876543,36,303,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,8,0.07818930041152264,0.07818930041152264,0.9876543209876543,36,303,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,12,0.01646090534979424,12,3,11,0.0205761316872428,0.1522633744855967,0.3004115226337449,0.20164609053497942,28,0.07818930041152264,0.2222222222222222,0.9876543209876543,38,310,0.8148148148148148,0.3333333333333333,0.9917695473251029
3,0.6748971193415638,13,0.14814814814814814,8,1,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.20164609053497942,28,0.07818930041152264,0.2222222222222222,0.9876543209876543,38,310,0.8148148148148148,0.3333333333333333,0.9917695473251029
3,0.32510288065843623,13,0.26337448559670784,21,4,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.20164609053497942,28,0.07818930041152264,0.2222222222222222,0.9876543209876543,38,310,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.13991769547325103,11,1,12,0.9794238683127572,0.1522633744855967,0.2674897119341564,0.16049382716049382,23,0.07818930041152264,0.2222222222222222,0.9876543209876543,38,314,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.14814814814814814,8,1,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.20164609053497942,14,0.07818930041152264,0.2222222222222222,0.9876543209876543,39,324,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,12,0.26337448559670784,26,1,2,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.23045267489711935,16,0.07818930041152264,0.2222222222222222,0.9876543209876543,39,326,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.14814814814814814,27,3,4,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,11,0.07818930041152264,0.2222222222222222,0.9876543209876543,13,333,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.16049382716049382,10,0.07818930041152264,0.03292181069958848,0.9876543209876543,13,335,0.8148148148148148,0.3333333333333333,0.9917695473251029
3,0.32510288065843623,13,0.26337448559670784,21,4,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.16049382716049382,18,0.11522633744855967,0.17695473251028807,0.9876543209876543,19,215,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,21,4,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.16049382716049382,18,0.11522633744855967,0.17695473251028807,0.9876543209876543,19,215,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,13,0.20987654320987653,10,3,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,17,0.11522633744855967,0.17695473251028807,0.9876543209876543,32,219,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,3,0.20987654320987653,28,3,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,17,0.11522633744855967,0.17695473251028807,0.9876543209876543,32,219,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,8,0.20987654320987653,10,3,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,26,0.11522633744855967,0.17695473251028807,0.9876543209876543,32,220,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,3,0.13991769547325103,28,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.24691358024691357,25,0.11522633744855967,0.17695473251028807,0.9876543209876543,32,221,0.18518518518518517,0.32098765432098764,0.9917695473251029
7,0.6748971193415638,13,0.20987654320987653,5,3,3,0.9794238683127572,0.1522633744855967,0.2674897119341564,0.20164609053497942,30,0.11522633744855967,0.17695473251028807,0.9876543209876543,40,225,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.13991769547325103,28,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,1,0.11522633744855967,0.17695473251028807,0.9876543209876543,40,226,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,16,0.11522633744855967,0.17695473251028807,0.9876543209876543,14,234,0.18518518518518517,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.13991769547325103,28,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,9,0.11522633744855967,0.13168724279835392,0.9876543209876543,16,248,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.32510288065843623,12,0.14814814814814814,22,3,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.24691358024691357,28,0.11522633744855967,0.13168724279835392,0.9876543209876543,16,249,0.8148148148148148,0.32098765432098764,0.9917695473251029
3,0.32510288065843623,13,0.20987654320987653,21,5,8,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.24691358024691357,30,0.11522633744855967,0.13168724279835392,0.9876543209876543,30,256,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.20987654320987653,15,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.20164609053497942,13,0.11522633744855967,0.13168724279835392,0.9876543209876543,37,260,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.32510288065843623,13,0.13991769547325103,28,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.20164609053497942,13,0.11522633744855967,0.13168724279835392,0.9876543209876543,37,260,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.14814814814814814,29,3,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.16049382716049382,24,0.11522633744855967,0.13168724279835392,0.9876543209876543,37,264,0.8148148148148148,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.13991769547325103,14,3,3,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.16049382716049382,24,0.11522633744855967,0.13168724279835392,0.9876543209876543,37,264,0.8148148148148148,0.32098765432098764,0.9917695473251029
7,0.32510288065843623,13,0.13991769547325103,14,3,3,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,4,0.11522633744855967,0.13168724279835392,0.9876543209876543,23,269,0.18518518518518517,0.32098765432098764,0.9917695473251029
6,0.6748971193415638,13,0.21810699588477367,18,3,3,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.20164609053497942,26,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,281,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.01646090534979424,7,3,3,0.0205761316872428,0.1522633744855967,0.2674897119341564,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.18518518518518517,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.26337448559670784,12,3,3,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.24691358024691357,19,0.11522633744855967,0.07818930041152264,0.9876543209876543,27,284,0.18518518518518517,0.3333333333333333,0.9917695473251029
7,0.6748971193415638,13,0.13991769547325103,27,3,3,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.14814814814814814,21,0.11522633744855967,0.07818930041152264,0.9876543209876543,17,296,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,302,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.32510288065843623,13,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,302,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.6748971193415638,13,0.21810699588477367,11,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,8,0.11522633744855967,0.07818930041152264,0.9876543209876543,28,303,0.8148148148148148,0.3333333333333333,0.9917695473251029
3,0.6748971193415638,13,0.01646090534979424,1,3,12,0.0205761316872428,0.1522633744855967,0.2674897119341564,0.24691358024691357,10,0.11522633744855967,0.2222222222222222,0.9876543209876543,28,305,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.20987654320987653,22,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.16049382716049382,25,0.11522633744855967,0.2222222222222222,0.9876543209876543,36,313,0.8148148148148148,0.3333333333333333,0.9917695473251029
6,0.6748971193415638,13,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.16049382716049382,25,0.11522633744855967,0.2222222222222222,0.9876543209876543,36,313,0.8148148148148148,0.3333333333333333,0.9917695473251029
7,0.6748971193415638,4,0.13991769547325103,10,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,9,0.26337448559670784,0.09876543209876543,0.9876543209876543,11,36,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,5,0.21810699588477367,17,5,8,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.24691358024691357,17,0.26337448559670784,0.09876543209876543,0.9876543209876543,11,38,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,21,4,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,22,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,43,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,8,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,12,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,5,0.26337448559670784,19,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,30,5,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,8,0.21810699588477367,11,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.32510288065843623,12,0.20987654320987653,22,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.32510288065843623,8,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,8,0.20987654320987653,20,6,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,16,5,5,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,14,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,51,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,5,0.13991769547325103,25,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,14,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,51,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,16,5,5,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.24691358024691357,24,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,52,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,7,0.00411522633744856,16,5,9,0.0205761316872428,0.1522633744855967,0.18930041152263374,0.24691358024691357,24,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,52,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.13991769547325103,27,5,9,0.9794238683127572,0.1522633744855967,0.24279835390946503,0.23045267489711935,14,0.26337448559670784,0.04938271604938271,0.9876543209876543,3,79,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,21,5,5,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.23045267489711935,15,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,86,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.21810699588477367,27,5,7,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,30,4,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.24691358024691357,20,0.26337448559670784,0.04938271604938271,0.9876543209876543,29,87,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.13991769547325103,14,5,9,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,7,0.26337448559670784,0.024691358024691357,0.9876543209876543,1,92,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,8,0.20987654320987653,29,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,29,0.26337448559670784,0.024691358024691357,0.9876543209876543,2,114,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,8,0.14814814814814814,2,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,11,0.26337448559670784,0.024691358024691357,0.9876543209876543,22,119,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,8,5,7,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,14,0.26337448559670784,0.10699588477366255,0.9876543209876543,18,140,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,22,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,23,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,161,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,22,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.20164609053497942,23,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,161,0.8148148148148148,0.18930041152263374,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,19,4,12,0.9794238683127572,0.8477366255144033,0.2674897119341564,0.14814814814814814,19,0.26337448559670784,0.06172839506172839,0.9876543209876543,25,162,0.8148148148148148,0.18930041152263374,0.9917695473251029
